2026-07-08 15:33:40,704 | INFO | __main__ | ============================================================
2026-07-08 15:33:40,705 | INFO | __main__ | Telegram Media Mirror
2026-07-08 15:33:40,706 | INFO | __main__ | Starting application...
2026-07-08 15:33:40,706 | INFO | __main__ | ============================================================
2026-07-08 15:41:27,102 | INFO | __main__ | ============================================================
2026-07-08 15:41:27,103 | INFO | __main__ | Telegram Media Mirror
2026-07-08 15:41:27,104 | INFO | __main__ | Starting application...
2026-07-08 15:41:27,104 | INFO | __main__ | ============================================================
2026-07-08 15:41:27,119 | INFO | __main__ | Database initialized.
2026-07-08 16:44:24,152 | INFO | __main__ | ============================================================
2026-07-08 16:44:24,155 | INFO | __main__ | Telegram Media Mirror
2026-07-08 16:44:24,156 | INFO | __main__ | Starting application...
2026-07-08 16:44:24,157 | INFO | __main__ | ============================================================
2026-07-08 16:44:24,180 | INFO | __main__ | Database initialized.
2026-07-08 16:44:24,183 | INFO | __main__ | Bot started.
2026-07-08 16:44:24,184 | INFO | aiogram.dispatcher | Start polling
2026-07-08 16:44:28,628 | INFO | aiogram.dispatcher | Run polling for bot @badgodamm_bot id=8628151359 - 'Godam baddie'
2026-07-08 16:45:41,984 | INFO | aiogram.event | Update id=272691261 is handled. Duration 974 ms by bot id=8628151359
2026-07-08 16:48:59,409 | INFO | __main__ | ============================================================
2026-07-08 16:48:59,411 | INFO | __main__ | Telegram Media Mirror
2026-07-08 16:48:59,413 | INFO | __main__ | Starting application...
2026-07-08 16:48:59,415 | INFO | __main__ | ============================================================
2026-07-08 16:48:59,433 | INFO | __main__ | Database initialized.
2026-07-08 16:48:59,435 | INFO | __main__ | Bot started.
2026-07-08 16:48:59,437 | INFO | aiogram.dispatcher | Start polling
2026-07-08 16:49:00,385 | INFO | aiogram.dispatcher | Run polling for bot @badgodamm_bot id=8628151359 - 'Godam baddie'
2026-07-08 16:49:00,622 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:49:00,627 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:49:04,932 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:49:04,935 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:49:06,176 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:49:06,178 | WARNING | aiogram.dispatcher | Sleep for 1.331195 seconds and try again... (tryings = 1, bot id = 8628151359)
2026-07-08 16:49:10,905 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:49:10,907 | WARNING | aiogram.dispatcher | Sleep for 1.391563 seconds and try again... (tryings = 1, bot id = 8628151359)
2026-07-08 16:49:12,644 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:49:12,645 | WARNING | aiogram.dispatcher | Sleep for 1.886709 seconds and try again... (tryings = 2, bot id = 8628151359)
2026-07-08 16:49:17,982 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:49:17,983 | WARNING | aiogram.dispatcher | Sleep for 1.709835 seconds and try again... (tryings = 2, bot id = 8628151359)
2026-07-08 16:49:20,015 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
